iter	Passed	Remaining
0	4	49908
1	8	42172
2	12	40334
3	15	39418
4	19	39305
5	22	38289
6	26	37769
7	30	37478
8	33	37539
9	38	38701
10	45	40951
11	50	41871
12	54	41854
13	61	43882
14	69	46205
15	75	47211
16	80	47300
17	86	47876
18	91	47901
19	94	47240
20	98	46837
21	102	46311
22	105	45879
23	109	45417
24	113	45332
25	117	45249
26	121	45002
27	125	44560
28	129	44381
29	134	44716
30	138	44459
31	142	44318
32	146	44213
33	150	43990
34	154	43966
35	158	43838
36	163	44106
37	167	44029
38	173	44397
39	178	44354
40	182	44394
41	186	44274
42	190	44089
43	194	43955
44	197	43739
45	201	43512
46	205	43440
47	208	43325
48	213	43326
49	217	43325
50	221	43146
51	225	43139
52	230	43327
53	235	43330
54	238	43205
55	243	43252
56	248	43394
57	253	43441
58	257	43443
59	261	43389
60	265	43242
61	268	43075
62	272	42982
63	276	42930
64	279	42796
65	283	42675
66	287	42642
67	291	42607
68	295	42523
69	299	42507
70	305	42767
71	310	42768
72	314	42708
73	318	42658
74	323	42846
75	329	43059
76	346	44664
77	351	44765
78	355	44706
79	359	44631
80	363	44483
81	366	44352
82	370	44300
83	374	44236
84	378	44141
85	382	44066
86	386	44005
87	390	44012
88	394	43939
89	397	43819
90	401	43759
91	405	43715
92	410	43774
93	414	43719
94	418	43654
95	422	43604
96	429	43867
97	434	43908
98	438	43861
99	442	43802
100	446	43741
101	450	43745
102	461	44357
103	468	44534
104	473	44621
105	477	44588
106	481	44537
107	485	44475
108	490	44501
109	495	44517
110	498	44445
111	503	44484
112	508	44449
113	513	44502
114	516	44416
115	521	44446
116	525	44413
117	529	44363
118	533	44296
119	539	44446
120	544	44437
121	548	44404
122	554	44501
123	558	44519
124	564	44580
125	568	44557
126	572	44528
127	576	44486
128	580	44435
129	586	44540
130	591	44533
131	595	44505
132	599	44498
133	603	44469
134	608	44433
135	611	44368
136	615	44306
137	619	44246
138	622	44189
139	626	44119
140	631	44146
141	635	44138
142	639	44094
143	643	44044
144	647	44005
145	652	44017
146	656	43977
147	660	43938
148	664	43902
149	668	43919
150	673	43898
151	677	43864
152	680	43808
153	684	43770
154	688	43747
155	692	43686
156	696	43658
157	699	43591
158	703	43522
159	706	43475
160	710	43435
161	715	43475
162	722	43583
163	726	43547
164	730	43518
165	734	43500
166	737	43446
167	741	43407
168	745	43356
169	749	43313
170	752	43265
171	756	43235
172	760	43195
173	764	43152
174	768	43126
175	771	43088
176	776	43096
177	780	43046
178	784	43016
179	787	42984
180	791	42950
181	795	42916
182	799	42885
183	803	42865
184	806	42814
185	810	42778
186	814	42760
187	818	42727
188	822	42694
189	826	42662
190	830	42653
191	836	42712
192	843	42849
193	850	42974
194	855	43004
195	862	43122
196	866	43105
197	870	43070
198	873	43035
199	877	43000
200	882	43030
201	886	43020
202	890	42999
203	894	42956
204	897	42894
205	901	42842
206	904	42789
207	908	42755
208	912	42756
209	916	42705
210	919	42673
211	923	42628
212	926	42566
213	930	42539
214	934	42510
215	937	42477
216	941	42441
217	944	42402
218	948	42370
219	952	42342
220	955	42300
221	959	42262
222	962	42218
223	966	42169
224	969	42134
225	973	42086
226	977	42082
227	981	42063
